,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
126,할리스커피,난곡사거리점,음식,커피점/카페,서울특별시,관악구,신사동,37.4824191215345,126.916159190088
127,할리스커피,용산리첸시아점,음식,커피점/카페,서울특별시,용산구,원효로1동,37.5379280661978,126.967960705689
128,할리스커피,신월사거리점,음식,커피점/카페,서울특별시,양천구,신월5동,37.5361770692701,126.828573753234
129,할리스커피,도곡점,음식,커피점/카페,서울특별시,강남구,도곡2동,37.4845225385878,127.046184195457
130,할리스커피,공덕경의선숲길점,음식,커피점/카페,서울특별시,마포구,염리동,37.5445966352571,126.946628184994
131,할리스커피방배점세리,,음식,커피점/카페,서울특별시,서초구,방배3동,37.477825833046,127.006595756623
132,할리스커피구내식당숭실대점,숭실대점,음식,커피점/카페,서울특별시,동작구,상도1동,37.494927740121,126.957436230114
133,할리스커피,잠실광고회관점,음식,커피점/카페,서울특별시,송파구,잠실6동,37.5159470410651,127.099584345944
134,할리스커피용산더프라임점,용산더프라임점,음식,커피점/카페,서울특별시,용산구,원효로1동,37.5403851155867,126.96970339144
135,할리스에프앤비마이컵오브,,음식,커피점/카페,서울특별시,용산구,이촌1동,37.5193737827583,126.975003784208
136,할리스커피,가락시장역점,음식,커피점/카페,서울특별시,송파구,가락본동,37.494242410447,127.122586934608
137,할리스,도심공항점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5096240415368,127.059426824816
138,할리스커피,홍대역2번출구점,음식,커피점/카페,서울특별시,마포구,서교동,37.5577468595849,126.923104929456
139,할리스커피,왕십리역점,음식,커피점/카페,서울특별시,성동구,행당1동,37.5614361598608,127.038379235542
140,할리스커피,응암역점,음식,커피점/카페,서울특별시,은평구,신사1동,37.5986365860758,126.915313527227
141,할리스남영점,남영점,음식,커피점/카페,서울특별시,용산구,이촌1동,37.5189052574908,126.981254629093
142,할리스커피,신촌연세로점,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5561208284023,126.936562753667
143,할리스,충무로점,음식,커피점/카페,서울특별시,중구,필동,37.5606389769497,126.993544686906
144,할리스커피,공덕점,음식,커피점/카페,서울특별시,마포구,아현동,37.5474382722394,126.95308396577
145,할리스,응암점,음식,커피점/카페,서울특별시,은평구,신사1동,37.5986365860758,126.915313527227
146,할리스커피,반포점,음식,커피점/카페,서울특별시,서초구,반포4동,37.5064271601893,127.00681633008
147,서울만남의광장휴게소할리스매장,,음식,커피점/카페,서울특별시,서초구,양재2동,37.4596522409903,127.042713505005
148,할리스에프앤비,,음식,커피점/카페,서울특별시,용산구,원효로1동,37.5403851155867,126.96970339144
149,할리스,에프엔비종로코리안리빌딩점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5734024597516,126.980444775983
150,할리스고덕리엔파크점,고덕리엔파크점,음식,커피점/카페,서울특별시,강동구,고덕2동,37.5605009538711,127.170481411937
151,인디스에프앤디할리스커피,광화문점,음식,커피점/카페,서울특별시,중구,명동,37.5690023567918,126.97593149451
152,할리스커피,대방역점,음식,커피점/카페,서울특별시,동작구,대방동,37.5098012748359,126.924959178503
153,할리스,김포공항점,음식,커피점/카페,서울특별시,강서구,공항동,37.5567445553682,126.808456751781
154,할리스,청담삼성로점,음식,커피점/카페,서울특별시,강남구,삼성2동,37.516302495017,127.050621412309
155,할리스,방이역점,음식,커피점/카페,서울특별시,송파구,오금동,37.5099391079042,127.12748194012
156,할리스,종로본점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.5699340831693,126.986797355958
157,할리스커피,미아역점,음식,커피점/카페,서울특별시,강북구,미아동,37.6267377223807,127.025575385604
158,할리스,태능입구역점,음식,커피점/카페,서울특별시,노원구,공릉1동,37.6186136454943,127.077550241964
159,할리스커피,장한평역점,음식,커피점/카페,서울특별시,성동구,용답동,37.5606852063166,127.067195145309
