,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
387,이디야커피,올림픽프라자점,음식,커피점/카페,서울특별시,송파구,오륜동,37.5157231511018,127.131045765864
388,이디야커피,학동역점,음식,커피점/카페,서울특별시,강남구,논현2동,37.5149890280984,127.03310468535
389,이디야커피,동교중앙점,음식,커피점/카페,서울특별시,마포구,서교동,37.5587732893275,126.923022246394
390,이디야커피,박미삼거리점,음식,커피점/카페,서울특별시,금천구,시흥5동,37.4476132757895,126.903653435475
391,이디야커피,천호현대점,음식,커피점/카페,서울특별시,강동구,천호2동,37.5409177009667,127.123862108655
392,이디야커피,장승배기역점,음식,커피점/카페,서울특별시,동작구,상도2동,37.5052805123614,126.940191100881
393,이디야커피,대흥역점,음식,커피점/카페,서울특별시,마포구,대흥동,37.547495934358,126.94236626696
394,이디야커피,대림역점,음식,커피점/카페,서울특별시,영등포구,대림3동,37.4925215522174,126.895907002436
395,이디야커피,개화산역점,음식,커피점/카페,서울특별시,강서구,방화2동,37.5722445063632,126.806896679784
396,이디야커피,,음식,커피점/카페,서울특별시,종로구,사직동,37.5777377334585,126.967117128137
397,이디야커피,이마트용산역,음식,커피점/카페,서울특별시,용산구,한강로동,37.527902979157,126.963222625326
398,이디야커피,가산하이엔드10차점,음식,커피점/카페,서울특별시,금천구,가산동,37.4687900354866,126.887483666076
399,이디야커피,신창점,음식,커피점/카페,서울특별시,도봉구,창2동,37.6389323507554,127.038095090275
400,이디야커피,전농사거리점,음식,커피점/카페,서울특별시,동대문구,전농2동,37.5775908744167,127.059500885442
401,이디야커피,대청역점,음식,커피점/카페,서울특별시,강남구,일원2동,37.494197347193,127.077635139267
402,이디야커피,용문점,음식,커피점/카페,서울특별시,용산구,원효로1동,37.5358407433804,126.961121310631
403,이디야커피,뚝섬유원지역점,음식,커피점/카페,서울특별시,광진구,자양4동,37.5335458217646,127.067227779555
404,이디야커피,창신점,음식,커피점/카페,서울특별시,종로구,창신1동,37.5720204539642,127.012907975586
405,이디야당산,,음식,커피점/카페,서울특별시,영등포구,당산2동,37.5331812118938,126.90219836144
406,이디야커피,보라매점,음식,커피점/카페,서울특별시,동작구,신대방2동,37.4913218201268,126.924081971972
407,이디야커피,가산월드점,음식,커피점/카페,서울특별시,금천구,가산동,37.4787176322481,126.878698539315
408,이디야잠실,,음식,커피점/카페,서울특별시,송파구,잠실3동,37.5131306848918,127.093034822493
