,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
55,스타벅스,구의디티점,음식,커피점/카페,서울특별시,광진구,구의2동,37.5452982782211,127.087179393284
56,스타벅스,마로니에공원점,음식,커피점/카페,서울특별시,종로구,이화동,37.5815275489605,127.002321047314
57,스타벅스,도산가로수길점,음식,커피점/카페,서울특별시,강남구,논현1동,37.5173417649322,127.023368467937
58,스타벅스,구역삼세무서점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4959157868406,127.038880731616
59,스타벅스,안암역점,음식,커피점/카페,서울특별시,성북구,안암동,37.5860984036961,127.030747660126
60,스타벅스,역삼초교사거리점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.494128761553,127.033000493348
61,스타벅스,남영동점,음식,커피점/카페,서울특별시,용산구,남영동,37.5428580456495,126.972238091589
62,스타벅스,건대입구점,음식,커피점/카페,서울특별시,광진구,화양동,37.5406916237944,127.070714543377
63,스타벅스신사가로수점,신사가로수점,음식,커피점/카페,서울특별시,강남구,신사동,37.5218849410754,127.022506036871
64,스타벅스,여의도공원점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5292630435403,126.924872251138
65,스타벅스,길동역점,음식,커피점/카페,서울특별시,강동구,길동,37.5387117808982,127.14002383238
66,스타벅스,천호역점,음식,커피점/카페,서울특별시,강동구,성내2동,37.5380903953149,127.124132813668
67,스타벅스광장점,광장점,음식,커피점/카페,서울특별시,광진구,광장동,37.5429521266911,127.099644411941
68,스타벅스홍대삼거리점,홍대삼거리점,음식,커피점/카페,서울특별시,마포구,서강동,37.5502065639045,126.923258698504
69,스타벅스,청담스타점,음식,커피점/카페,서울특별시,강남구,청담동,37.5252509543256,127.041819329691
70,스타벅스,광나루점,음식,커피점/카페,서울특별시,광진구,광장동,37.5473081154277,127.106087855114
71,스타벅스삼청동점,삼청동점,음식,커피점/카페,서울특별시,종로구,삼청동,37.5853706511239,126.981764800071
72,스타벅스,강남GT타워점,음식,커피점/카페,서울특별시,서초구,서초4동,37.4980981742341,127.025903621913
73,스타벅스,반포역점,음식,커피점/카페,서울특별시,서초구,잠원동,37.5086144884618,127.011922479411
74,스타벅스역삼역점,역삼역점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.5007062485243,127.035177610748
75,스타벅스,강남비젼타워점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4964803158248,127.029679239432
76,스타벅스상암DMC센트럴몰점,상암DMC센트럴몰점,음식,커피점/카페,서울특별시,마포구,상암동,37.5773969503192,126.890828379752
77,스타벅스신촌명물거리점,신촌명물거리점,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5577927897877,126.938123543095
78,스타벅스,구로호텔점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4831780131692,126.898837323937
79,스타벅스,롯데캐슬여의도점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5204625862643,126.926163737378
80,스타벅스,석촌호수점,음식,커피점/카페,서울특별시,송파구,송파1동,37.5094301379565,127.105216364301
81,스타벅스,목동8단지점,음식,커피점/카페,서울특별시,양천구,신정6동,37.5205579957556,126.868819022331
82,스타벅스,목동5단지점,음식,커피점/카페,서울특별시,양천구,목5동,37.5367328984384,126.882197957914
83,스타벅스,가양이마트점,음식,커피점/카페,서울특별시,강서구,가양3동,37.5581809080942,126.861799100259
84,스타벅스대치점,대치점,음식,커피점/카페,서울특별시,강남구,대치2동,37.4996265116081,127.062221296007
85,스타벅스경복궁역,,음식,커피점/카페,서울특별시,종로구,사직동,37.5771730114202,126.972615705273
86,스타벅스합정메세나몰점,합정메세나몰점,음식,커피점/카페,서울특별시,마포구,서교동,37.5514907709978,126.913937441506
87,스타벅스,이촌역점,음식,커피점/카페,서울특별시,용산구,한강로동,37.5248570913299,126.970392141507
88,스타벅스광운대점,광운대점,음식,커피점/카페,서울특별시,노원구,월계1동,37.6231751762071,127.060705412335
89,스타벅스,교대법원점,음식,커피점/카페,서울특별시,서초구,서초4동,37.4963541721937,127.013361956833
90,스타벅스,영등포KT점,음식,커피점/카페,서울특별시,영등포구,영등포동,37.5267559445456,126.905019084861
91,스타벅스,방배카페골목점,음식,커피점/카페,서울특별시,서초구,방배본동,37.493523177117,126.986552647513
92,스타벅스,대치역점,음식,커피점/카페,서울특별시,강남구,대치1동,37.4933436201599,127.06190405786
93,스타벅스,신당역점,음식,커피점/카페,서울특별시,중구,신당동,37.5653916533212,127.014331146174
94,스타벅스,아시아선수촌점,음식,커피점/카페,서울특별시,송파구,잠실본동,37.510526383519,127.079029120505
