,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,위도,경도
108,커피빈,코리아내방역7번출구유중아트점,음식,커피점/카페,서울특별시,서초구,방배4동,37.4895310965763,126.992825964204
109,커피빈코리아현대자동차강남오토스퀘어점,코리아현대자동차강남오토스퀘어점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.4940767955719,127.029959127242
110,커피빈,코리아여의도신영증권별관점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5218010688175,126.92968545198
111,커피빈,코리아순화동라마다호텔점,음식,커피점/카페,서울특별시,중구,소공동,37.5602553075084,126.97202179687
112,커피빈코리아대치사거리점,코리아대치사거리점,음식,커피점/카페,서울특별시,강남구,대치2동,37.5030068072398,127.058989581839
113,커피빈코리아천호역점,코리아천호역점,음식,커피점/카페,서울특별시,강동구,천호2동,37.5403198653599,127.123439105898
114,커피빈삼성역글라스타워뒷점,삼성역글라스타워뒷점,음식,커피점/카페,서울특별시,강남구,대치2동,37.5070834352286,127.062874525423
115,커피빈,코리아영동점,음식,커피점/카페,서울특별시,서초구,반포1동,37.5068488415252,127.022803927157
116,커피빈,코리아송파파크하비오B1점,음식,커피점/카페,서울특별시,송파구,문정2동,37.4796170833121,127.124872301331
117,커피빈코리아도곡동지오빌딩점,코리아도곡동지오빌딩점,음식,커피점/카페,서울특별시,강남구,도곡1동,37.4922619966497,127.041652882473
118,커피빈코리아노원역점,코리아노원역점,음식,커피점/카페,서울특별시,노원구,상계6.7동,37.65440053774,127.062397480367
119,커피빈장안점,장안점,음식,커피점/카페,서울특별시,동대문구,장안1동,37.5709293133171,127.070520095746
120,커피빈코리아보라매공원,,음식,커피점/카페,서울특별시,동작구,신대방2동,37.4921005826931,126.923516694716
121,커피빈코리아수유역점,코리아수유역점,음식,커피점/카페,서울특별시,강북구,번1동,37.6386704071897,127.027028498779
122,커피빈,코리아현대자동차여의도점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5248788091876,126.927277014357
123,커피빈코리아강남역먹자골목점,코리아강남역먹자골목점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.5001008472006,127.027279995112
124,커피빈,코리아코엑스메가박스점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5118203253706,127.059139102428
125,커피빈,코리아목동트라팰리스점,음식,커피점/카페,서울특별시,양천구,목1동,37.5260779264084,126.870342171311
126,커피빈,코리아교대역점,음식,커피점/카페,서울특별시,서초구,서초3동,37.4929577920548,127.012354946611
127,커피빈,코리아뉴교보타워옆점,음식,커피점/카페,서울특별시,서초구,서초4동,37.5023515888989,127.024864400949
128,커피빈,코리아여의도역점,음식,커피점/카페,서울특별시,영등포구,여의동,37.5202033823205,126.924414010082
129,커피빈,코리아방배카페골목점,음식,커피점/카페,서울특별시,서초구,방배본동,37.4957038434011,126.985516688457
130,커피빈,코리아뉴압구정점,음식,커피점/카페,서울특별시,강남구,신사동,37.5244122928567,127.027405642062
131,커피빈,코리아소공동삼화빌딩점,음식,커피점/카페,서울특별시,중구,소공동,37.5641548377455,126.981148104184
132,커피빈,코리아광화문역1번출구점,음식,커피점/카페,서울특별시,종로구,사직동,37.5727611494672,126.974023459841
133,커피빈코리아구로디지털단지점,코리아구로디지털단지점,음식,커피점/카페,서울특별시,구로구,구로3동,37.4839445982113,126.894088426936
134,커피빈,코리아삼성봉은사로점,음식,커피점/카페,서울특별시,강남구,삼성1동,37.5146624038385,127.064148493946
135,커피빈,코리아신촌점,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5563345623891,126.937284068375
136,커피빈,코리아강남에스점,음식,커피점/카페,서울특별시,서초구,서초4동,37.500304869454,127.02579578825
137,커피빈,코리아고대안암역점,음식,커피점/카페,서울특별시,성북구,안암동,37.5869806658445,127.029558656269
138,커피빈,연대동문회관점,음식,커피점/카페,서울특별시,서대문구,신촌동,37.5638006863037,126.942916817516
139,커피빈,코리아강남역GT타워옆점,음식,커피점/카페,서울특별시,서초구,서초4동,37.4985381518182,127.025716956944
140,커피빈,상수역점,음식,커피점/카페,서울특별시,마포구,서강동,37.5481334120258,126.923175354186
141,커피빈,코리아수서역원방빌딩점,음식,커피점/카페,서울특별시,강남구,수서동,37.4887693364124,127.104094603821
142,커피빈코리아포스코옆삼성로86길점,코리아포스코옆삼성로86길점,음식,커피점/카페,서울특별시,강남구,대치2동,37.5058755720448,127.058286255073
143,커피빈,코리아강남대로점,음식,커피점/카페,서울특별시,서초구,서초2동,37.4956481730487,127.028197228786
144,커피빈코리아역삼점,코리아역삼점,음식,커피점/카페,서울특별시,강남구,역삼1동,37.502338961594,127.036502483304
145,커피빈코리아인사점,코리아인사점,음식,커피점/카페,서울특별시,종로구,종로1.2.3.4가동,37.572984105237,126.987322063474
146,커피빈코리아고대참살이길점,코리아고대참살이길점,음식,커피점/카페,서울특별시,성북구,안암동,37.5850521759835,127.029527080303
147,커피빈,코리아합정역점,음식,커피점/카페,서울특별시,마포구,합정동,37.5488069061978,126.915051485631
148,커피빈코리아양천향교역점,코리아양천향교역점,음식,커피점/카페,서울특별시,강서구,가양1동,37.5660902741985,126.84033038221
149,커피빈,코리아시흥홈플러스점,음식,커피점/카페,서울특별시,금천구,시흥1동,37.4518935872289,126.900776713123
